"Year","Month","SOI"
1976,"Aug",-9.27276780972102
1976,"Sep",-10.6291567180574
1976,"Oct",2.41683841849091
1976,"Nov",7.33272064385713
1976,"Dec",-2.86896805460345
1977,"Jan",-4.10204888036404
1977,"Feb",8.03968698395968
1977,"Mar",-8.66444793567918
1977,"Apr",-5.72971557036806
1977,"May",-7.09432501754326
1977,"Jun",-10.7278031841185
1977,"Jul",-11.1388301260391
1977,"Aug",-9.27276780972102
1977,"Sep",-7.66976273623201
1977,"Oct",-10.4072021694204
1977,"Nov",-10.9168755774016
1977,"Dec",-10.2674530091679
1978,"Jan",-3.11558421975578
1978,"Feb",-25.5001114767318
1978,"Mar",-5.21182162354887
1978,"Apr",-4.7432509097598
1978,"May",10.1688065431072
1978,"Jun",3.57593439470604
1978,"Jul",4.64460444369866
1978,"Aug",1.08511112666935
1978,"Sep",0.715186878941274
1978,"Oct",-4.981646536073
1978,"Nov",-1.54546130162001
1978,"Dec",-0.896038733385812
1979,"Jan",-4.10204888036404
1979,"Feb",7.05322232335142
1979,"Mar",-2.74565997202738
1979,"Apr",-3.26355391884713
1979,"May",2.27708925823773
1979,"Jun",3.57593439470604
1979,"Jul",-6.20650682299612
1979,"Aug",-3.84721217637307
1979,"Sep",1.20841920924512
1979,"Oct",-2.02225255424766
1979,"Nov",-3.51839062283765
1979,"Dec",-7.30805902734202
1980,"Jan",3.29643607420043
1980,"Feb",1.13443435970018
1980,"Mar",-7.67798327507036
1980,"Apr",-7.7026448915857
1980,"May",-2.16200171450028
1980,"Jun",-2.83608589924961
1980,"Jul",-1.27418351995314
1980,"Aug",1.08511112666935
1980,"Sep",-4.2171364241017
1980,"Oct",-1.52902022394381
1980,"Nov",-2.53192596222883
1980,"Dec",-0.896038733385812
1981,"Jan",2.80320374389602
1981,"Feb",-3.30465661303895
1981,"Mar",-15.0764682296348
1981,"Apr",-3.26355391884657
1981,"May",4.74325090975978
1981,"Jun",7.02856070683635
1981,"Jul",7.11076609522014
1981,"Aug",4.53773743879966
1981,"Sep",6.1407425122881
1981,"Oct",-3.99518187546474
1981,"Nov",1.9071650105103
1981,"Dec",4.52951689996102
1982,"Jan",9.70845636815608
1982,"Feb",0.641202029395771
1982,"Mar",2.1866633310156
1982,"Apr",-2.27708925823831
1982,"May",-5.12139569632618
1982,"Jun",-12.2075001750312
1982,"Jul",-14.5914564381688
1982,"Aug",-18.1509497551982
1982,"Sep",-17.5344093423174
1982,"Oct",-16.3259901330722
1982,"Nov",-23.2476838350096
1982,"Dec",-20.6253319455577
1983,"Jan",-31.7230593774048
1983,"Feb",-34.8715257525139
1983,"Mar",-25.4343471660252
1983,"Apr",-10.1688065431072
1983,"May",3.75678624915096
1983,"Jun",-1.84962123864079
1983,"Jul",-5.71327449269115
1983,"Aug",0.0986464660605267
1983,"Sep",8.11367183350574
1983,"Oct",3.40330307909973
1983,"Nov",-0.55899664101175
1983,"Dec",0.0904259272224468
1984,"Jan",1.32350675298279
1984,"Feb",6.06675766274316
1984,"Mar",-5.21182162354887
1984,"Apr",1.175537053892
1984,"May",-0.189072393283198
1984,"Jun",-5.30224755077166
1984,"Jul",1.68521046187276
1984,"Aug",2.07157578727817
1984,"Sep",1.70165153954953
1984,"Oct",-3.99518187546474
1984,"Nov",2.89362967111856
1984,"Dec",-1.38927106369078
1985,"Jan",-3.60881655006019
1985,"Feb",7.05322232335142
1985,"Mar",-1.75919531141856
1985,"Apr",8.57402200845647
1985,"May",1.78385692793388
1985,"Jun",-5.79547988107551
1985,"Jul",-1.76741585025699
1985,"Aug",6.51066676001673
1985,"Sep",0.221954548636864
1985,"Oct",-4.48841420576915
